name,time,flow_in,flow_out,pressure_in,pressure_out
branch17_seg0,0.0000000000000000e+00,6.5482275739327524e-05,6.5482275739797539e-05,7.7131064229980839e+04,7.6126360849228950e+04
branch17_seg0,2.5000000000000000e-01,6.5482275749949060e-05,6.5482275749713788e-05,7.7131064224773465e+04,7.6126360843845905e+04
branch17_seg0,5.0000000000000000e-01,6.5482275744980825e-05,6.5482275745098298e-05,7.7131064226861214e+04,7.6126360846017706e+04
branch17_seg0,7.5000000000000000e-01,6.5482275747262407e-05,6.5482275747203860e-05,7.7131064226056944e+04,7.6126360845173782e+04
branch17_seg0,1.0000000000000000e+00,6.5482275746243216e-05,6.5482275746272340e-05,7.7131064226356772e+04,7.6126360845491945e+04
branch18_seg0,0.0000000000000000e+00,6.5482275739797539e-05,6.5482275740407078e-05,7.6126360849228950e+04,7.4791998248061369e+04
branch18_seg0,2.5000000000000000e-01,6.5482275749713788e-05,6.5482275749410929e-05,7.6126360843845905e+04,7.4791998242458416e+04
branch18_seg0,5.0000000000000000e-01,6.5482275745098298e-05,6.5482275745248352e-05,7.6126360846017706e+04,7.4791998244735136e+04
branch18_seg0,7.5000000000000000e-01,6.5482275747203860e-05,6.5482275747129700e-05,7.6126360845173782e+04,7.4791998243841896e+04
branch18_seg0,1.0000000000000000e+00,6.5482275746272340e-05,6.5482275746308919e-05,7.6126360845491945e+04,7.4791998244182745e+04
branch19_seg0,0.0000000000000000e+00,6.5482275740407078e-05,6.5482275741172850e-05,7.4791998248061369e+04,7.3056623941326645e+04
branch19_seg0,2.5000000000000000e-01,6.5482275749410929e-05,6.5482275749034264e-05,7.4791998242458416e+04,7.3056623935460811e+04
branch19_seg0,5.0000000000000000e-01,6.5482275745248352e-05,6.5482275745432978e-05,7.4791998244735136e+04,7.3056623937862358e+04
branch19_seg0,7.5000000000000000e-01,6.5482275747129700e-05,6.5482275747039468e-05,7.4791998243841896e+04,7.3056623936910808e+04
branch19_seg0,1.0000000000000000e+00,6.5482275746308919e-05,6.5482275746352910e-05,7.4791998244182745e+04,7.3056623937278229e+04
branch20_seg0,0.0000000000000000e+00,6.5482275741172850e-05,6.5482275742041092e-05,7.3056623941326645e+04,7.0997464231230653e+04
branch20_seg0,2.5000000000000000e-01,6.5482275749034264e-05,6.5482275748612577e-05,7.3056623935460811e+04,7.0997464225087810e+04
branch20_seg0,5.0000000000000000e-01,6.5482275745432978e-05,6.5482275745636862e-05,7.3056623937862358e+04,7.0997464227620221e+04
branch20_seg0,7.5000000000000000e-01,6.5482275747039468e-05,6.5482275746941293e-05,7.3056623936910808e+04,7.0997464226607946e+04
branch20_seg0,1.0000000000000000e+00,6.5482275746352910e-05,6.5482275746400005e-05,7.3056623937278229e+04,7.0997464227002740e+04
branch21_seg0,0.0000000000000000e+00,1.2500000000703550e-04,1.2500000000883742e-04,2.5323177296939200e+04,-1.2705494208814445e-21
branch21_seg0,2.5000000000000000e-01,1.2499999999803071e-04,1.2499999999703720e-04,2.5323177294977206e+04,6.3527471044073165e-22
branch21_seg0,5.0000000000000000e-01,1.2500000000021955e-04,1.2500000000076111e-04,2.5323177295523845e+04,-3.1763735522035642e-22
branch21_seg0,7.5000000000000000e-01,1.2500000000025620e-04,1.2499999999996395e-04,2.5323177295462388e+04,1.5881867761018761e-22
branch21_seg0,1.0000000000000000e+00,1.2499999999970201e-04,1.2499999999985830e-04,2.5323177295393180e+04,-7.9409338805084403e-23
branch22_seg0,0.0000000000000000e+00,6.5482275752553530e-05,6.5482275751327785e-05,5.4665282234407234e+04,2.5323177296939200e+04
branch22_seg0,2.5000000000000000e-01,6.5482275743779123e-05,6.5482275745251049e-05,5.4665282228246513e+04,2.5323177294977206e+04
branch22_seg0,5.0000000000000000e-01,6.5482275747829810e-05,6.5482275746659861e-05,5.4665282230781530e+04,2.5323177295523845e+04
branch22_seg0,7.5000000000000000e-01,6.5482275745961540e-05,6.5482275746763904e-05,5.4665282229776392e+04,2.5323177295462388e+04
branch22_seg0,1.0000000000000000e+00,6.5482275746829729e-05,6.5482275746320492e-05,5.4665282230159311e+04,2.5323177295393180e+04
branch23_seg0,0.0000000000000000e+00,5.9517724256556183e-05,5.9517724255707700e-05,5.1992612509673403e+04,2.5323177296939200e+04
branch23_seg0,2.5000000000000000e-01,5.9517724252016927e-05,5.9517724252779663e-05,5.1992612505682344e+04,2.5323177294977206e+04
branch23_seg0,5.0000000000000000e-01,5.9517724254111321e-05,5.9517724253559692e-05,5.1992612507174563e+04,2.5323177295523845e+04
branch23_seg0,7.5000000000000000e-01,5.9517724253131615e-05,5.9517724253492302e-05,5.1992612506665770e+04,2.5323177295462388e+04
branch23_seg0,1.0000000000000000e+00,5.9517724253603819e-05,5.9517724253381517e-05,5.1992612506814701e+04,2.5323177295393180e+04
branch24_seg0,0.0000000000000000e+00,5.9517724256428688e-05,5.9517724256556183e-05,5.3109602002280488e+04,5.1992612509673403e+04
branch24_seg0,2.5000000000000000e-01,5.9517724252066631e-05,5.9517724252016927e-05,5.3109601998214966e+04,5.1992612505682344e+04
